Index Name,Date,Open,High,Low,Close,Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
NIFTY BANK,29-Mar-23,39611.55,40055,39609.55,39910.15,29-Mar-23,15.1,15.1,13.32,13.6275,15.1,-1.47,-9.75
NIFTY BANK,31-Mar-23,40231.25,40690.4,40180.2,40608.65,31-Mar-23,13.6275,13.6275,12.0725,12.935,13.6275,-0.69,-5.08
NIFTY BANK,03-Apr-23,40695.8,40857.6,40535.9,40813.05,03-Apr-23,12.935,13.49,12.465,12.585,12.935,-0.35,-2.71
NIFTY BANK,05-Apr-23,40972.3,41071.15,40802.65,40999.15,05-Apr-23,12.585,12.805,12.0525,12.4125,12.585,-0.17,-1.37
NIFTY BANK,06-Apr-23,40940.7,41274.7,40820.55,41041,06-Apr-23,12.4125,12.57,11.65,11.7975,12.4125,-0.62,-4.95
NIFTY BANK,10-Apr-23,41116.15,41139.85,40727.25,40834.65,10-Apr-23,11.7975,12.5625,11.7975,12.2725,11.7975,0.48,4.03
NIFTY BANK,11-Apr-23,41232,41403.25,40990.2,41366.5,11-Apr-23,12.2725,12.2725,11.665,11.975,12.2725,-0.3,-2.42
NIFTY BANK,12-Apr-23,41426,41610.15,41332,41557.95,12-Apr-23,11.975,12.395,11.975,12.2725,11.975,0.3,2.48
NIFTY BANK,13-Apr-23,41680.1,42196.2,41502.65,42132.55,13-Apr-23,12.2725,12.51,11.84,11.9075,12.2725,-0.37,-2.97
NIFTY BANK,17-Apr-23,42603.55,42603.55,41799,42262.55,17-Apr-23,11.9075,13.2725,11.9075,12.265,11.9075,0.36,3
NIFTY BANK,18-Apr-23,42406.95,42500.7,42114.35,42265.2,18-Apr-23,12.265,12.525,11.8625,12.075,12.265,-0.19,-1.55
NIFTY BANK,19-Apr-23,42280.1,42339.9,42022.15,42154,19-Apr-23,12.075,12.47,11.1075,12.1525,12.075,0.08,0.64
NIFTY BANK,20-Apr-23,42218.5,42378.15,42108.85,42269.5,20-Apr-23,12.1525,12.3975,11.58,11.94,12.1525,-0.21,-1.75
NIFTY BANK,21-Apr-23,42252.55,42382.15,41962.35,42118,21-Apr-23,11.94,12.04,11.52,11.63,11.94,-0.31,-2.6
NIFTY BANK,24-Apr-23,42469.95,42714.15,42269.1,42635.75,24-Apr-23,11.63,12.205,11.58,11.6675,11.63,0.04,0.32
NIFTY BANK,25-Apr-23,42731.6,42865.55,42601.5,42678.5,25-Apr-23,11.6675,11.8125,11.425,11.52,11.6675,-0.15,-1.26
NIFTY BANK,26-Apr-23,42559.05,42875.6,42432.25,42829.9,26-Apr-23,11.52,11.8975,11.2975,11.6525,11.52,0.13,1.15
NIFTY BANK,27-Apr-23,42753.9,43043.4,42736.6,43000.85,27-Apr-23,11.6525,12.02,10.96,11.425,11.6525,-0.23,-1.95
NIFTY BANK,28-Apr-23,43045.5,43302.05,42810.35,43233.9,28-Apr-23,11.425,11.5425,10.7875,10.9475,11.425,-0.48,-4.18
NIFTY BANK,02-May-23,43395.05,43483.85,43269.4,43352.1,02-May-23,10.9475,12.0625,10.9475,11.8975,10.9475,0.95,8.68
NIFTY BANK,03-May-23,43154.85,43354.95,43078.15,43312.7,03-May-23,11.8975,12.25,11.13,11.84,11.8975,-0.06,-0.48
NIFTY BANK,04-May-23,43236.1,43739.8,43213.95,43685.45,04-May-23,11.84,12.03,11.185,11.7325,11.84,-0.11,-0.91
NIFTY BANK,05-May-23,43110.65,43588,42582.2,42661.2,05-May-23,11.7325,12.375,11.53,12.295,11.7325,0.56,4.79
NIFTY BANK,08-May-23,42796.85,43418.55,42780.3,43284,08-May-23,12.295,12.91,11.7225,12.635,12.295,0.34,2.77
NIFTY BANK,09-May-23,43438.55,43533.25,43125.85,43198.15,09-May-23,12.635,12.815,11.6575,12.6775,12.635,0.04,0.34
NIFTY BANK,10-May-23,43275.25,43383.65,42822.15,43331.05,10-May-23,12.6775,13.2975,11.5425,13.0825,12.6775,0.4,3.19
NIFTY BANK,11-May-23,43535.1,43774.25,43367.25,43475.3,11-May-23,13.0825,13.74,12.815,13.215,13.0825,0.13,1.01
NIFTY BANK,12-May-23,43447.15,43905.95,43347.75,43793.55,12-May-23,13.215,13.51,12.7375,12.8525,13.215,-0.36,-2.74
NIFTY BANK,15-May-23,43821.05,44151.7,43666.6,44072.1,15-May-23,12.8525,13.615,12.5375,13.1725,12.8525,0.32,2.49
NIFTY BANK,16-May-23,44144.15,44144.15,43815.7,43903.7,16-May-23,13.1725,13.485,11.71,13.2925,13.1725,0.12,0.91
NIFTY BANK,17-May-23,43948.5,43992.75,43446.4,43698.7,17-May-23,13.2925,13.58,11.895,13.105,13.2925,-0.19,-1.41
NIFTY BANK,18-May-23,44006.9,44079.2,43673.7,43752.3,18-May-23,13.105,13.105,11.1375,12.795,13.105,-0.31,-2.37
NIFTY BANK,19-May-23,43930,44020.9,43531.9,43969.4,19-May-23,12.795,12.82,11.6875,12.3025,12.795,-0.49,-3.85
NIFTY BANK,22-May-23,43935.3,44026.75,43684.9,43885.1,22-May-23,12.3025,12.82,11.555,12.57,12.3025,0.27,2.17
NIFTY BANK,23-May-23,43978.9,44095.25,43852.2,43954.45,23-May-23,12.57,13.075,12.3175,12.605,12.57,0.04,0.28
NIFTY BANK,24-May-23,43751.95,44010.45,43639.8,43677.85,24-May-23,12.605,13.4375,12.41,13.1125,12.605,0.51,4.03
